iter	Passed	Remaining
493	642	658
494	644	657
495	645	655
496	646	654
497	647	652
498	648	651
499	649	649
500	651	648
501	652	647
502	654	646
503	655	644
504	656	643
505	657	642
506	658	640
507	660	639
508	661	637
509	662	636
510	663	635
511	664	633
512	667	633
513	669	632
514	670	631
515	671	629
516	672	628
517	673	627
518	675	625
519	676	624
520	677	622
521	678	621
522	679	620
523	681	618
524	682	617
525	683	616
526	685	615
527	686	614
528	688	612
529	689	611
530	690	610
531	691	608
532	693	607
533	694	606
534	695	604
535	697	603
536	698	602
537	699	600
538	700	599
539	702	598
540	703	596
541	704	595
542	705	593
543	706	592
544	708	591
545	709	590
546	711	589
547	713	588
548	715	587
549	716	586
550	717	584
551	718	583
552	720	582
553	721	580
554	722	579
555	723	577
556	724	576
557	726	575
558	727	573
559	728	572
560	730	571
561	731	570
562	732	568
563	733	567
564	735	565
565	736	564
566	737	563
567	738	561
568	739	560
569	741	559
570	742	557
571	744	556
572	745	555
573	746	554
574	747	552
575	749	551
576	750	550
577	751	548
578	753	547
579	754	546
580	756	545
581	757	543
582	758	542
583	760	541
584	761	540
585	762	538
586	763	537
587	765	536
588	766	534
589	767	533
590	768	531
591	769	530
592	771	529
593	772	528
594	774	526
595	775	525
596	776	524
597	777	522
598	779	521
599	780	520
600	781	519
601	782	517
602	784	516
603	785	514
604	786	513
605	788	512
606	789	511
607	790	509
608	792	508
609	793	507
610	794	506
611	796	504
612	797	503
613	798	502
614	799	500
615	800	499
616	802	498
617	804	496
618	805	495
619	806	494
620	807	492
621	808	491
622	810	490
623	811	488
624	812	487
625	813	486
626	815	484
627	816	483
628	818	482
629	819	481
630	820	479
631	821	478
632	823	477
633	824	475
634	825	474
635	826	473
636	828	471
637	829	470
638	830	469
639	831	467
640	833	466
641	834	465
642	836	464
643	837	462
644	838	461
645	840	460
646	841	458
647	842	457
648	843	456
649	844	454
650	846	453
651	847	452
652	849	451
653	850	449
654	851	448
655	852	447
656	854	445
657	855	444
658	856	443
659	857	441
660	858	440
661	860	439
662	861	437
663	863	436
664	864	435
665	865	434
666	866	432
667	867	431
668	869	430
669	870	428
670	871	427
671	872	426
672	874	424
673	875	423
674	876	421
675	877	420
676	879	419
677	880	418
678	882	417
679	883	415
680	884	414
681	885	413
682	887	411
683	888	410
684	889	409
685	890	407
686	892	406
687	893	405
688	895	404
689	896	402
690	897	401
691	898	400
692	900	398
693	901	397
694	902	396
695	903	394
696	905	393
697	906	392
698	907	390
699	909	389
700	910	388
701	911	386
702	912	385
703	914	384
704	915	382
705	916	381
706	917	380
707	919	379
708	920	377
709	921	376
710	923	375
711	924	374
712	926	372
713	927	371
714	929	370
715	930	369
716	932	367
717	967	380
718	969	379
719	972	378
720	974	377
721	977	376
722	980	375
723	982	374
724	984	373
725	987	372
726	989	371
727	991	370
728	999	371
729	1002	370
730	1003	369
731	1005	367
732	1006	366
733	1007	365
734	1009	363
735	1010	362
736	1012	361
737	1014	360
738	1017	359
739	1019	358
740	1021	357
741	1023	355
742	1025	354
743	1027	353
744	1028	352
745	1030	350
746	1032	349
747	1033	348
748	1034	346
749	1035	345
750	1037	343
751	1038	342
752	1039	341
753	1040	339
754	1041	338
755	1043	336
756	1044	335
757	1045	333
758	1047	332
759	1048	331
760	1049	329
761	1051	328
762	1052	326
763	1053	325
764	1055	324
765	1056	322
766	1057	321
767	1058	319
768	1060	318
769	1061	317
770	1063	315
771	1064	314
772	1065	313
773	1067	311
774	1069	310
775	1070	309
776	1072	307
777	1073	306
778	1074	304
779	1076	303
780	1078	302
781	1079	300
782	1080	299
783	1081	298
784	1083	296
785	1084	295
786	1085	293
787	1086	292
788	1088	290
789	1089	289
790	1090	288
791	1092	286
792	1093	285
793	1094	284
794	1095	282
795	1097	281
796	1098	279
797	1099	278
798	1100	276
799	1102	275
800	1103	274
801	1104	272
802	1106	271
803	1107	270
804	1109	268
805	1110	267
806	1111	265
807	1112	264
808	1114	263
809	1115	261
810	1116	260
811	1118	258
812	1119	257
813	1120	256
814	1122	254
815	1123	253
816	1124	251
817	1125	250
818	1127	249
819	1128	247
820	1129	246
821	1131	245
822	1133	243
823	1134	242
824	1135	240
825	1137	239
826	1139	238
827	1140	236
828	1141	235
829	1143	234
830	1144	232
831	1146	231
832	1147	230
833	1148	228
834	1150	227
835	1152	226
836	1153	224
837	1155	223
838	1156	221
839	1158	220
840	1159	219
841	1161	217
842	1162	216
843	1163	215
844	1165	213
845	1167	212
846	1168	211
847	1169	209
848	1171	208
849	1172	206
850	1174	205
851	1175	204
852	1176	202
853	1177	201
854	1179	200
855	1181	198
856	1182	197
857	1184	195
858	1185	194
859	1187	193
860	1188	191
861	1189	190
862	1190	189
863	1192	187
864	1193	186
865	1195	184
866	1196	183
867	1198	182
868	1199	180
869	1200	179
870	1202	178
871	1203	176
872	1204	175
873	1206	173
874	1207	172
875	1208	171
876	1210	169
877	1211	168
878	1213	167
879	1214	165
880	1216	164
881	1217	162
882	1218	161
883	1220	160
884	1221	158
885	1222	157
886	1224	155
887	1225	154
888	1227	153
889	1228	151
890	1229	150
891	1231	149
892	1232	147
893	1233	146
894	1235	144
895	1236	143
896	1237	142
897	1238	140
898	1240	139
899	1241	137
900	1243	136
901	1244	135
902	1245	133
903	1247	132
904	1248	131
905	1250	129
906	1251	128
907	1252	126
908	1254	125
909	1255	124
910	1257	122
911	1258	121
912	1259	120
913	1261	118
914	1262	117
915	1263	115
916	1264	114
917	1266	113
918	1267	111
919	1268	110
920	1270	108
921	1271	107
922	1273	106
923	1274	104
924	1275	103
925	1277	102
926	1278	100
927	1279	99
928	1281	97
929	1282	96
930	1283	95
931	1284	93
932	1286	92
933	1287	91
934	1289	89
935	1290	88
936	1291	86
937	1293	85
938	1294	84
939	1295	82
940	1296	81
941	1298	79
942	1299	78
943	1300	77
944	1302	75
945	1304	74
946	1305	73
947	1306	71
948	1308	70
949	1309	68
950	1310	67
951	1312	66
952	1313	64
953	1314	63
954	1316	62
955	1317	60
956	1319	59
957	1320	57
958	1321	56
959	1323	55
960	1324	53
961	1325	52
962	1327	51
963	1328	49
964	1330	48
965	1332	46
966	1333	45
967	1335	44
968	1336	42
969	1338	41
970	1339	40
971	1341	38
972	1342	37
973	1344	35
974	1345	34
975	1347	33
976	1349	31
977	1350	30
978	1352	29
979	1353	27
980	1355	26
981	1356	24
982	1357	23
983	1358	22
984	1360	20
985	1361	19
986	1363	17
987	1364	16
988	1366	15
989	1367	13
990	1368	12
991	1370	11
992	1371	9
993	1372	8
994	1373	6
995	1375	5
996	1377	4
997	1378	2
998	1379	1
999	1381	0
